 #  Electrostatic field (a.u.)
 #  Element:  C,  Z =   6  atomic weight = 1.2000000E+01 g/mol
 #  Number of electrons =  0
 #  MNUCL =  4,   MELEC =  4
 #
 #   I       R(I)           RHON(I)         RVN(I)          DEN(I)          RVST(I)
 #------------------------------------------------------------------------------------
     1  0.00000000E+00  1.21983662E+13 -2.77555756E-16  0.00000000E+00 -2.77555756E-16
   157  3.71759420E-06  1.22245194E+13  6.24642713E-01  0.00000000E+00  6.24642713E-01
   158  3.82571604E-06  1.22260066E+13  6.42729886E-01  0.00000000E+00  6.42729886E-01
   159  3.93630307E-06  1.22275651E+13  6.61222339E-01  0.00000000E+00  6.61222339E-01
   160  4.04938131E-06  1.22291970E+13  6.80123724E-01  0.00000000E+00  6.80123724E-01
   161  4.16497590E-06  1.22309046E+13  6.99437499E-01  0.00000000E+00  6.99437499E-01
   162  4.28311105E-06  1.22326902E+13  7.19166915E-01  0.00000000E+00  7.19166915E-01
   163  4.40381001E-06  1.22345558E+13  7.39315015E-01  0.00000000E+00  7.39315015E-01
   164  4.52709507E-06  1.22365036E+13  7.59884623E-01  0.00000000E+00  7.59884623E-01
   165  4.65298749E-06  1.22385356E+13  7.80878338E-01  0.00000000E+00  7.80878338E-01
   166  4.78150752E-06  1.22406537E+13  8.02298531E-01  0.00000000E+00  8.02298531E-01
   167  4.91267436E-06  1.22428597E+13  8.24147332E-01  0.00000000E+00  8.24147332E-01
   168  5.04650610E-06  1.22451554E+13  8.46426629E-01  0.00000000E+00  8.46426629E-01
   169  5.18301980E-06  1.22475422E+13  8.69138065E-01  0.00000000E+00  8.69138065E-01
   170  5.32223136E-06  1.22500216E+13  8.92283027E-01  0.00000000E+00  8.92283027E-01
   171  5.46415560E-06  1.22525947E+13  9.15862642E-01  0.00000000E+00  9.15862642E-01
   172  5.60880619E-06  1.22552625E+13  9.39877780E-01  0.00000000E+00  9.39877780E-01
   173  5.75619567E-06  1.22580259E+13  9.64329041E-01  0.00000000E+00  9.64329041E-01
   174  5.90633546E-06  1.22608851E+13  9.89216756E-01  0.00000000E+00  9.89216756E-01
   175  6.05923579E-06  1.22638406E+13  1.01454098E+00  0.00000000E+00  1.01454098E+00
   176  6.21490577E-06  1.22668922E+13  1.04030151E+00  0.00000000E+00  1.04030151E+00
   177  6.37335338E-06  1.22700394E+13  1.06649783E+00  0.00000000E+00  1.06649783E+00
   178  6.53458542E-06  1.22732814E+13  1.09312918E+00  0.00000000E+00  1.09312918E+00
   179  6.69860758E-06  1.22766171E+13  1.12019449E+00  0.00000000E+00  1.12019449E+00
   180  6.86542441E-06  1.22800447E+13  1.14769243E+00  0.00000000E+00  1.14769243E+00
   181  7.03503933E-06  1.22835621E+13  1.17562138E+00  0.00000000E+00  1.17562138E+00
   182  7.20745468E-06  1.22871668E+13  1.20397942E+00  0.00000000E+00  1.20397942E+00
   183  7.38267167E-06  1.22908554E+13  1.23276437E+00  0.00000000E+00  1.23276437E+00
   184  7.56069046E-06  1.22946244E+13  1.26197374E+00  0.00000000E+00  1.26197374E+00
   185  7.74151012E-06  1.22984692E+13  1.29160479E+00  0.00000000E+00  1.29160479E+00
   186  7.92512870E-06  1.23023849E+13  1.32165445E+00  0.00000000E+00  1.32165445E+00
   187  8.11154320E-06  1.23063656E+13  1.35211941E+00  0.00000000E+00  1.35211941E+00
   188  8.30074963E-06  1.23104048E+13  1.38299607E+00  0.00000000E+00  1.38299607E+00
   189  8.49274302E-06  1.23144953E+13  1.41428054E+00  0.00000000E+00  1.41428054E+00
   190  8.68751745E-06  1.23186289E+13  1.44596865E+00  0.00000000E+00  1.44596865E+00
   191  8.88506603E-06  1.23227965E+13  1.47805598E+00  0.00000000E+00  1.47805598E+00
   192  9.08538102E-06  1.23269882E+13  1.51053781E+00  0.00000000E+00  1.51053781E+00
   193  9.28845375E-06  1.23311930E+13  1.54340917E+00  0.00000000E+00  1.54340917E+00
   194  9.49427473E-06  1.23353989E+13  1.57666482E+00  0.00000000E+00  1.57666482E+00
   195  9.70283362E-06  1.23395927E+13  1.61029925E+00  0.00000000E+00  1.61029925E+00
   196  9.91411931E-06  1.23437604E+13  1.64430669E+00  0.00000000E+00  1.64430669E+00
   197  1.01281199E-05  1.23478865E+13  1.67868112E+00  0.00000000E+00  1.67868112E+00
   198  1.03448228E-05  1.23519543E+13  1.71341626E+00  0.00000000E+00  1.71341626E+00
   199  1.05642146E-05  1.23559461E+13  1.74850559E+00  0.00000000E+00  1.74850559E+00
   200  1.07862813E-05  1.23598425E+13  1.78394234E+00  0.00000000E+00  1.78394234E+00
   201  1.10110083E-05  1.23636230E+13  1.81971950E+00  0.00000000E+00  1.81971950E+00
   202  1.12383803E-05  1.23672656E+13  1.85582981E+00  0.00000000E+00  1.85582981E+00
   203  1.14683815E-05  1.23707469E+13  1.89226579E+00  0.00000000E+00  1.89226579E+00
   204  1.17009953E-05  1.23740418E+13  1.92901974E+00  0.00000000E+00  1.92901974E+00
   205  1.19362049E-05  1.23771240E+13  1.96608371E+00  0.00000000E+00  1.96608371E+00
   206  1.21739928E-05  1.23799654E+13  2.00344956E+00  0.00000000E+00  2.00344956E+00
   207  1.24143411E-05  1.23825363E+13  2.04110891E+00  0.00000000E+00  2.04110891E+00
   208  1.26572313E-05  1.23848055E+13  2.07905319E+00  0.00000000E+00  2.07905319E+00
   209  1.29026449E-05  1.23867401E+13  2.11727361E+00  0.00000000E+00  2.11727361E+00
   210  1.31505624E-05  1.23883053E+13  2.15576118E+00  0.00000000E+00  2.15576118E+00
   211  1.34009646E-05  1.23894651E+13  2.19450673E+00  0.00000000E+00  2.19450673E+00
   212  1.36538314E-05  1.23901813E+13  2.23350088E+00  0.00000000E+00  2.23350088E+00
   213  1.39091427E-05  1.23904144E+13  2.27273408E+00  0.00000000E+00  2.27273408E+00
   214  1.41668782E-05  1.23901228E+13  2.31219659E+00  0.00000000E+00  2.31219659E+00
   215  1.44270170E-05  1.23892636E+13  2.35187850E+00  0.00000000E+00  2.35187850E+00
   216  1.46895382E-05  1.23877919E+13  2.39176973E+00  0.00000000E+00  2.39176973E+00
   217  1.49544208E-05  1.23856614E+13  2.43186004E+00  0.00000000E+00  2.43186004E+00
   218  1.52216433E-05  1.23828241E+13  2.47213901E+00  0.00000000E+00  2.47213901E+00
   219  1.54911842E-05  1.23792302E+13  2.51259610E+00  0.00000000E+00  2.51259610E+00
   220  1.57630220E-05  1.23748287E+13  2.55322060E+00  0.00000000E+00  2.55322060E+00
   221  1.60371348E-05  1.23695668E+13  2.59400167E+00  0.00000000E+00  2.59400167E+00
   222  1.63135008E-05  1.23633905E+13  2.63492833E+00  0.00000000E+00  2.63492833E+00
   223  1.65920981E-05  1.23562443E+13  2.67598946E+00  0.00000000E+00  2.67598946E+00
   224  1.68729045E-05  1.23480717E+13  2.71717384E+00  0.00000000E+00  2.71717384E+00
   225  1.71558980E-05  1.23388145E+13  2.75847012E+00  0.00000000E+00  2.75847012E+00
   226  1.74410565E-05  1.23284140E+13  2.79986683E+00  0.00000000E+00  2.79986683E+00
   227  1.77283579E-05  1.23168102E+13  2.84135242E+00  0.00000000E+00  2.84135242E+00
   228  1.80177800E-05  1.23039424E+13  2.88291523E+00  0.00000000E+00  2.88291523E+00
   229  1.83093007E-05  1.22897490E+13  2.92454350E+00  0.00000000E+00  2.92454350E+00
   230  1.86028979E-05  1.22741680E+13  2.96622541E+00  0.00000000E+00  2.96622541E+00
   231  1.88985496E-05  1.22571369E+13  3.00794905E+00  0.00000000E+00  3.00794905E+00
   232  1.91962337E-05  1.22385930E+13  3.04970244E+00  0.00000000E+00  3.04970244E+00
   233  1.94959283E-05  1.22184735E+13  3.09147354E+00  0.00000000E+00  3.09147354E+00
   234  1.97976115E-05  1.21967156E+13  3.13325026E+00  0.00000000E+00  3.13325026E+00
   235  2.01012616E-05  1.21732566E+13  3.17502048E+00  0.00000000E+00  3.17502048E+00
   236  2.04068568E-05  1.21480347E+13  3.21677201E+00  0.00000000E+00  3.21677201E+00
   237  2.07143756E-05  1.21209882E+13  3.25849267E+00  0.00000000E+00  3.25849267E+00
   238  2.10237965E-05  1.20920566E+13  3.30017023E+00  0.00000000E+00  3.30017023E+00
   239  2.13350981E-05  1.20611804E+13  3.34179246E+00  0.00000000E+00  3.34179246E+00
   240  2.16482592E-05  1.20283012E+13  3.38334712E+00  0.00000000E+00  3.38334712E+00
   241  2.19632587E-05  1.19933621E+13  3.42482200E+00  0.00000000E+00  3.42482200E+00
   242  2.22800757E-05  1.19563080E+13  3.46620489E+00  0.00000000E+00  3.46620489E+00
   243  2.25986894E-05  1.19170857E+13  3.50748359E+00  0.00000000E+00  3.50748359E+00
   244  2.29190791E-05  1.18756439E+13  3.54864596E+00  0.00000000E+00  3.54864596E+00
   245  2.32412243E-05  1.18319338E+13  3.58967989E+00  0.00000000E+00  3.58967989E+00
   246  2.35651048E-05  1.17859091E+13  3.63057334E+00  0.00000000E+00  3.63057334E+00
   247  2.38907003E-05  1.17375262E+13  3.67131431E+00  0.00000000E+00  3.67131431E+00
   248  2.42179910E-05  1.16867445E+13  3.71189090E+00  0.00000000E+00  3.71189090E+00
   249  2.45469570E-05  1.16335267E+13  3.75229128E+00  0.00000000E+00  3.75229128E+00
   250  2.48775787E-05  1.15778384E+13  3.79250372E+00  0.00000000E+00  3.79250372E+00
   251  2.52098367E-05  1.15196493E+13  3.83251659E+00  0.00000000E+00  3.83251659E+00
   252  2.55437117E-05  1.14589322E+13  3.87231838E+00  0.00000000E+00  3.87231838E+00
