 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.52383E+08 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
   4.19226505E-02  1.37553797E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.43886888E-02  1.54212561E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.68547271E-02  1.71823254E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   4.93207653E-02  1.90385875E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.17868036E-02  2.09900426E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.42528419E-02  2.30366906E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.67188802E-02  2.51785315E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   5.91849184E-02  2.74155653E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.16509567E-02  2.97477920E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.41169950E-02  3.21752115E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.65830333E-02  3.46978240E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   6.90490716E-02  3.73156293E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.15151099E-02  4.00286275E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.39811482E-02  4.28368185E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.64471864E-02  4.57402025E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   7.89132247E-02  4.87387792E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.13792630E-02  5.18325489E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.38453013E-02  5.50215114E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.63113396E-02  5.83056667E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   8.87773779E-02  6.16850148E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.12434162E-02  6.51595558E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.37094546E-02  6.87292896E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.61754929E-02  7.23942162E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   9.86415312E-02  7.61543356E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.23301914E-01  1.18991132E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.47962298E-01  1.71347201E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.72622682E-01  2.33222531E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   1.97283066E-01  3.04617110E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.21943451E-01  3.85530926E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.46603837E-01  4.75963963E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.71264223E-01  5.75916204E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   2.95924610E-01  6.85387629E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
   3.20584997E-01  8.04378217E-06  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
