    Radial grid:  A*(R(I)+R0)+B*LOG(R(I)+R0)+C=I

    R0= 1.78012201018E-08  RN= 3.77945225092E-04
     C= 4.98000000000E+02   N=  996

     A= 1.89832748621E+06   B= 2.78525012550E+01  C= 4.98000000000E+02

    I        R(I)         DIFR(I)
   ----------------------------------
   388  8.0374036E-05  4.4547660E-07
   389  8.0819703E-05  4.4585598E-07
   390  8.1265747E-05  4.4623215E-07
   391  8.1712166E-05  4.4660515E-07
   392  8.2158957E-05  4.4697501E-07
   393  8.2606115E-05  4.4734178E-07
   394  8.3053639E-05  4.4770549E-07
   395  8.3501525E-05  4.4806618E-07
   396  8.3949770E-05  4.4842387E-07
   397  8.4398372E-05  4.4877861E-07
   398  8.4847327E-05  4.4913043E-07
   399  8.5296632E-05  4.4947935E-07
   400  8.5746284E-05  4.4982543E-07
   401  8.6196282E-05  4.5016868E-07
   402  8.6646621E-05  4.5050913E-07
   403  8.7097299E-05  4.5084683E-07
   404  8.7548314E-05  4.5118180E-07
   405  8.7999662E-05  4.5151407E-07
   406  8.8451341E-05  4.5184368E-07
   407  8.8903348E-05  4.5217065E-07
   408  8.9355681E-05  4.5249500E-07
   409  8.9808337E-05  4.5281678E-07
   410  9.0261314E-05  4.5313601E-07
   411  9.0714609E-05  4.5345272E-07
   412  9.1168219E-05  4.5376693E-07
   413  9.1622142E-05  4.5407867E-07
   414  9.2076375E-05  4.5438797E-07
   415  9.2530917E-05  4.5469486E-07
   416  9.2985764E-05  4.5499936E-07
   417  9.3440915E-05  4.5530151E-07
   418  9.3896366E-05  4.5560131E-07
   419  9.4352117E-05  4.5589881E-07
   420  9.4808163E-05  4.5619402E-07
   421  9.5264504E-05  4.5648697E-07
   422  9.5721136E-05  4.5677768E-07
   423  9.6178058E-05  4.5706618E-07
   424  9.6635268E-05  4.5735249E-07
   425  9.7092763E-05  4.5763663E-07
   426  9.7550541E-05  4.5791864E-07
   427  9.8008599E-05  4.5819852E-07
   428  9.8466937E-05  4.5847630E-07
   429  9.8925551E-05  4.5875201E-07
   430  9.9384440E-05  4.5902567E-07
   431  9.9843602E-05  4.5929729E-07
   432  1.0030303E-04  4.5956690E-07
   433  1.0076273E-04  4.5983452E-07
   434  1.0122270E-04  4.6010018E-07
   435  1.0168293E-04  4.6036388E-07
   436  1.0214343E-04  4.6062566E-07
   437  1.0260419E-04  4.6088552E-07
   438  1.0306520E-04  4.6114350E-07
   439  1.0352647E-04  4.6139961E-07
   440  1.0398800E-04  4.6165386E-07
   441  1.0444978E-04  4.6190629E-07
   442  1.0491181E-04  4.6215690E-07
   443  1.0537409E-04  4.6240571E-07
   444  1.0583662E-04  4.6265275E-07
   445  1.0629940E-04  4.6289803E-07
   446  1.0676242E-04  4.6314157E-07
   447  1.0722568E-04  4.6338339E-07
   448  1.0768918E-04  4.6362349E-07
   449  1.0815293E-04  4.6386191E-07
   450  1.0861691E-04  4.6409866E-07
   451  1.0908112E-04  4.6433375E-07
   452  1.0954557E-04  4.6456720E-07
   453  1.1001026E-04  4.6479903E-07
   454  1.1047517E-04  4.6502925E-07
   455  1.1094031E-04  4.6525788E-07
   456  1.1140569E-04  4.6548494E-07
   457  1.1187128E-04  4.6571043E-07
   458  1.1233711E-04  4.6593438E-07
   459  1.1280315E-04  4.6615679E-07
   460  1.1326942E-04  4.6637769E-07
   461  1.1373591E-04  4.6659709E-07
   462  1.1420261E-04  4.6681501E-07
   463  1.1466954E-04  4.6703145E-07
   464  1.1513668E-04  4.6724643E-07
   465  1.1560403E-04  4.6745997E-07
   466  1.1607160E-04  4.6767208E-07
   467  1.1653937E-04  4.6788278E-07
   468  1.1700736E-04  4.6809207E-07
   469  1.1747556E-04  4.6829997E-07
   470  1.1794396E-04  4.6850649E-07
   471  1.1841257E-04  4.6871165E-07
   472  1.1888138E-04  4.6891546E-07
   473  1.1935040E-04  4.6911793E-07
   474  1.1981962E-04  4.6931907E-07
   475  1.2028904E-04  4.6951891E-07
   476  1.2075866E-04  4.6971744E-07
   477  1.2122847E-04  4.6991468E-07
   478  1.2169848E-04  4.7011064E-07
   479  1.2216869E-04  4.7030534E-07
   480  1.2263909E-04  4.7049878E-07
   481  1.2310969E-04  4.7069099E-07
   482  1.2358048E-04  4.7088196E-07
   483  1.2405145E-04  4.7107171E-07
